#{"t_start": 1764333360.1245508, "env_id": "None"}
r,l,t
4.613329,180,197881.721686
29.21333,157,197897.495423
39.5,182,197912.50947
30.226665,196,197916.471236
17.459997,199,197929.146414
25.366667,188,197949.373079
21.86,135,197950.066933
29.03333,143,197955.857081
33.97333,165,197976.596301
26.973333,144,197979.964534
32.819992,187,198017.137146
31.919998,167,198021.110673
17.419996,188,198022.103814
31.059994,184,198050.711732
31.46666,177,198053.863863
38.886658,176,198073.965832
31.999992,170,198075.23982
11.533333,106,198081.441288
15.219992,237,198082.044888
32.153328,165,198114.527374
11.639999,104,198134.837081
31.25333,167,198147.619568
39.000004,229,198148.672058
29.953331,166,198152.514073
36.49333,175,198181.716139
12.793333,123,198184.258056
38.68666,202,198189.999647
18.506659,202,198194.904812
30.433327,155,198217.433761
11.639999,105,198258.20727
35.106663,194,198259.629751
24.826666,139,198266.335229
42.22666,211,198269.942137
22.746658,209,198272.210948
34.273327,193,198298.378521
11.513325,211,198300.051582
29.08666,154,198309.352714
13.12,166,198343.83447
27.23333,182,198366.497477
12.306668,139,198381.088025
41.739998,233,198390.829565
34.973324,216,198393.622445
42.14,236,198398.771188
37.999996,190,198407.417827
35.746666,180,198411.547743
30.41333,173,198444.528706
35.313328,171,198468.300406
43.239994,219,198484.412399
37.89333,187,198486.416046
31.166668,157,198492.200546
35.733334,221,198506.515388
37.199997,214,198507.934017
11.453324,210,198517.739692
11.259999,97,198548.938854
33.693336,174,198579.264366
40.033337,232,198583.24174
11.639999,106,198591.569125
35.96666,180,198610.817679
37.16666,198,198615.517154
26.706665,160,198615.517154
32.513332,201,198637.016796
34.58,161,198645.66169
24.846666,135,198654.614921
33.39999,159,198670.848358
33.05333,178,198690.443743
27.233334,182,198717.206345
32.266666,180,198723.582633
17.913334,141,198726.40495
27.253323,219,198766.921405
29.019997,170,198793.980307
11.239991,198,198798.395044
30.239994,167,198811.330759
24.866663,148,198817.45943
31.859997,174,198854.493497
16.393324,168,198854.493497
33.766663,182,198863.232771
